"Position","Standardsortierung"
"Product Name","Produkt Name"
"Price","Preis"
"Category","Produktkategorien"
"Add to Cart","In den Warenkorb"
"Qty","Menge:"
"More Information","PRODUKT BESCHREIBUNG"
"Reviews","BEWERTUNG"
"Shopping Cart","Warenkorb"
